common_name;scientific_name;category;description;habitat;population_estimate;endangerment_status;size_from;size_to;colors;image_link;endangerment_order;lexicon_link;sexual_dimorphism;presence_time;taxonomic_order
Nymphenfledermaus;Myotis nattereri;Säugetier;Die Nymphenfledermaus ist eine mittelgroße Fledermausart mit samtigem Fell und auffälligen Ohren. Sie lebt in Wäldern, Parks und Gebäuden und jagt Insekten in der Dämmerung und Nacht. In Deutschland ist sie verbreitet und gilt als nicht gefährdet.;Wälder, Parks, Gebäude;Nicht bekannt;Nicht gefährdet;4;5;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Nymphenfledermaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Nymphenfledermaus;Nein;Ganzjährig;Chiroptera
Bechsteinfledermaus;Myotis bechsteinii;Säugetier;Die Bechsteinfledermaus ist eine mittelgroße Fledermaus mit weichem, rötlich-braunem Fell. Sie lebt vor allem in alten Laubwäldern mit dichter Unterholzschicht und jagt Insekten hauptsächlich in der Dämmerung. In Deutschland ist sie selten und gilt als gefährdet.;Alte Laubwälder, dichte Unterholzschicht;Nicht bekannt;Gefährdet;4;5;brown,red;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Bechsteinfledermaus;4;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Bechsteinfledermaus;Nein;April bis Oktober;Chiroptera
Große Bartfledermaus;Myotis brandtii;Säugetier;Die Große Bartfledermaus ist eine kleine Fledermaus mit graubraunem Fell und dunkler Maske im Gesicht. Sie bewohnt Wälder und Gebäudenähe, jagt nachtaktive Insekten und nutzt Echolokation. In Deutschland ist sie selten und gilt als gefährdet.;Wälder, Gebäudenähe;Nicht bekannt;Gefährdet;4;5;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Gro_e_Bartfledermaus;4;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Gro_e_Bartfledermaus;Nein;April bis Oktober;Chiroptera
Teichfledermaus;Myotis daubentonii;Säugetier;Die Teichfledermaus ist eine mittelgroße Fledermaus mit graubraunem Fell, die oft über Gewässern jagt. Sie lebt in Wäldern, Parks und Höhlen und ernährt sich hauptsächlich von Wasserinsekten. In Deutschland ist sie weit verbreitet und gilt als nicht gefährdet.;Wälder, Parks, Höhlen, Gewässer;Nicht bekannt;Nicht gefährdet;4;5;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Teichfledermaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Teichfledermaus;Nein;Ganzjährig;Chiroptera
Wasserfledermaus;Myotis daubentonii;Säugetier;Die Wasserfledermaus ist eine mittelgroße Fledermaus mit graubraunem Fell, die bevorzugt über Gewässern jagt. Sie lebt in Wäldern, Parks und Höhlen und ernährt sich hauptsächlich von Wasserinsekten. In Deutschland ist sie weit verbreitet und gilt als nicht gefährdet.;Wälder, Parks, Höhlen, Gewässer;Nicht bekannt;Nicht gefährdet;4;5;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Wasserfledermaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Wasserfledermaus;Nein;Ganzjährig;Chiroptera
Wimperfledermaus;Myotis emarginatus;Säugetier;Die Wimperfledermaus ist eine mittelgroße Fledermaus mit charakteristischen langen Wimpern und graubraunem Fell. Sie lebt in Höhlen, Gebäuden und Wäldern und jagt nachtaktive Insekten. In Deutschland ist sie selten und gilt als gefährdet.;Höhlen, Gebäude, Wälder;Nicht bekannt;Gefährdet;4;5;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Wimperfledermaus;4;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Wimperfledermaus;Nein;April bis Oktober;Chiroptera
Großes Mausohr;Myotis myotis;Säugetier;Das Große Mausohr ist eine große Fledermaus mit braunem, weichem Fell und sehr großen Ohren. Es bewohnt Höhlen, alte Gebäude und Wälder und jagt nachtaktive Insekten. In Deutschland ist es weit verbreitet und gilt als nicht gefährdet.;Höhlen, alte Gebäude, Wälder;Nicht bekannt;Nicht gefährdet;6;7;brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Gro_es_Mausohr;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Gro_es_Mausohr;Nein;Ganzjährig;Chiroptera
Kleine Bartfledermaus;Myotis mystacinus;Säugetier;Die Kleine Bartfledermaus ist eine kleine Fledermaus mit graubraunem Fell und kurzem Bart. Sie lebt in Wäldern, Parks und Gebäuden und jagt nachts kleine Insekten. In Deutschland ist sie verbreitet und gilt als nicht gefährdet.;Wälder, Parks, Gebäude;Nicht bekannt;Nicht gefährdet;3;4;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Kleine_Bartfledermaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Kleine_Bartfledermaus;Nein;Ganzjährig;Chiroptera
Fransenfledermaus;Myotis nattereri;Säugetier;Die Fransenfledermaus ist eine kleine Fledermaus mit weichem Fell und charakteristischen Fransen an den Flughautkanten. Sie lebt in Wäldern, Parks und Gebäuden und jagt nachtaktive Insekten. In Deutschland ist sie weit verbreitet und gilt als nicht gefährdet.;Wälder, Parks, Gebäude;Nicht bekannt;Nicht gefährdet;3;4;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Fransenfledermaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Fransenfledermaus;Nein;Ganzjährig;Chiroptera
Nordfledermaus;Eptesicus nilssonii;Säugetier;Die Nordfledermaus ist eine mittelgroße Fledermaus mit dunkelbraunem Fell und hellen Unterseiten. Sie lebt in Wäldern, Höhlen und Gebäuden und jagt hauptsächlich nachtaktive Insekten. In Deutschland ist sie selten und steht auf der Vorwarnliste.;Wälder, Höhlen, Gebäude;Nicht bekannt;Vorwarnliste;4;5;brown,dark brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Nordfledermaus;3;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Nordfledermaus;Nein;April bis Oktober;Chiroptera
Breitflügelfledermaus;Eptesicus serotinus;Säugetier;Die Breitflügelfledermaus ist eine mittelgroße Fledermaus mit breiten Flügeln und braunem Fell. Sie bewohnt Wälder, Parks und Gebäude und jagt vor allem größere Insekten in der Nacht. In Deutschland ist sie weit verbreitet und gilt als nicht gefährdet.;Wälder, Parks, Gebäude;Nicht bekannt;Nicht gefährdet;4;6;brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Breitfl_gelfledermaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Breitfl_gelfledermaus;Nein;Ganzjährig;Chiroptera
Kleiner Abendsegler;Nyctalus leisleri;Säugetier;Der Kleine Abendsegler ist eine mittelgroße Fledermaus mit rostbraunem Fell und langen Flügeln. Sie lebt in Wäldern, Parks und Gebäuden und jagt Insekten während der Abenddämmerung. In Deutschland ist sie selten und steht auf der Vorwarnliste.;Wälder, Parks, Gebäude;Nicht bekannt;Vorwarnliste;4;5;brown,red;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Kleiner Abendsegler;3;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Kleiner Abendsegler;Nein;April bis Oktober;Chiroptera
Großer Abendsegler;Nyctalus noctula;Säugetier;Der Große Abendsegler ist eine große Fledermaus mit braunem bis rotbraunem Fell und kräftigen Flügeln. Er lebt in Wäldern, Parks und Gebäuden und jagt in der Dämmerung und Nacht nach Insekten. In Deutschland ist er weit verbreitet und gilt als nicht gefährdet.;Wälder, Parks, Gebäude;Nicht bekannt;Nicht gefährdet;5;7;brown,red;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Gro_er_Abendsegler;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Gro_er_Abendsegler;Nein;Ganzjährig;Chiroptera
Weißrandfledermaus;Myotis albescens;Säugetier;Die Weißrandfledermaus ist eine kleine Fledermaus mit hellgrauem Fell und einem charakteristischen weißen Rand an den Flughäuten. Sie lebt in Wäldern und Gebieten in der Nähe von Gewässern und jagt nachtaktive Insekten. In Deutschland ist ihre Population unbekannt und sie gilt als nicht gefährdet.;Wälder, Gewässernähe;Nicht bekannt;Nicht gefährdet;3;4;gray,white;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Wei_randfledermaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Wei_randfledermaus;Nein;Ganzjährig;Chiroptera
Rauhautfledermaus;Pipistrellus nathusii;Säugetier;Die Rauhautfledermaus ist eine kleine Fledermaus mit rotbraunem, dicht behaartem Fell. Sie lebt in Wäldern, Parks und Gebäuden und jagt hauptsächlich Nachtinsekten. In Deutschland ist sie selten und steht auf der Vorwarnliste.;Wälder, Parks, Gebäude;Nicht bekannt;Vorwarnliste;3;4;red brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Rauhautfledermaus;3;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Rauhautfledermaus;Nein;April bis Oktober;Chiroptera
Zwergfledermaus;Pipistrellus pipistrellus;Säugetier;Die Zwergfledermaus ist eine kleine Fledermaus mit braunem Fell und kurzem Schwanz. Sie lebt in Städten, Wäldern und Gebäuden und jagt hauptsächlich kleine Nachtinsekten. In Deutschland ist sie weit verbreitet und gilt als nicht gefährdet.;Städte, Wälder, Gebäude;Nicht bekannt;Nicht gefährdet;3;4;brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Zwergfledermaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Zwergfledermaus;Nein;Ganzjährig;Chiroptera
Mückenfledermaus;Pipistrellus pygmaeus;Säugetier;Die Mückenfledermaus ist eine kleine Fledermaus mit dunklem braunem Fell, die bevorzugt in der Nähe von Gewässern lebt. Sie jagt vor allem kleine Insekten wie Mücken und Fliegen in der Dämmerung und Nacht. In Deutschland ist sie weit verbreitet und gilt als nicht gefährdet.;Gewässernähe, Wälder, Parks;Nicht bekannt;Nicht gefährdet;3;4;dark brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/M_ckenfledermaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/M_ckenfledermaus;Nein;Ganzjährig;Chiroptera
Mopsfledermaus;Barbastella barbastellus;Säugetier;Die Mopsfledermaus ist eine mittelgroße Fledermaus mit dunklem, fast schwarzem Fell und breitem Gesicht. Sie lebt in alten Wäldern und jagt nachtaktive Insekten, vor allem Mücken und Motten. In Deutschland ist sie selten und gilt als gefährdet.;Alte Wälder;Nicht bekannt;Gefährdet;3;4;black,dark brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Mopsfledermaus;4;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Mopsfledermaus;Nein;April bis Oktober;Chiroptera
Braunes Langohr;Plecotus auritus;Säugetier;Das Braune Langohr ist eine mittelgroße Fledermaus mit auffällig langen Ohren und braunem Fell. Sie lebt in Wäldern, Parks und Gebäuden und jagt nachts kleine Insekten. In Deutschland ist sie weit verbreitet und gilt als nicht gefährdet.;Wälder, Parks, Gebäude;Nicht bekannt;Nicht gefährdet;4;6;brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Braunes_Langohr;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Braunes_Langohr;Nein;Ganzjährig;Chiroptera
Graues Langohr;Plecotus austriacus;Säugetier;Das Graue Langohr ist eine mittelgroße Fledermaus mit langen Ohren und graubraunem Fell. Sie bevorzugt offene Landschaften, Parks und Gebäude als Lebensraum und jagt nachts kleine Insekten. In Deutschland ist sie verbreitet und gilt als nicht gefährdet.;Offene Landschaften, Parks, Gebäude;Nicht bekannt;Nicht gefährdet;4;6;gray,brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Graues_Langohr;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Graues_Langohr;Nein;Ganzjährig;Chiroptera
Alpenfledermaus;Myotis alpestris;Säugetier;Die Alpenfledermaus ist eine kleine Fledermaus mit dunkelbraunem bis graubraunem Fell. Sie lebt vor allem in Gebirgsregionen und Höhlen und jagt nachts Insekten. In Deutschland ist sie selten und steht auf der Vorwarnliste.;Gebirge, Höhlen;Nicht bekannt;Vorwarnliste;3;4;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Alpenfledermaus;3;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Alpenfledermaus;Nein;April bis Oktober;Chiroptera
Zweifarbfledermaus;Vespertilio murinus;Säugetier;Die Zweifarbfledermaus ist eine mittelgroße Fledermaus mit dunklem Rückenfell und heller Unterseite. Sie lebt in Städten, Wäldern und Parks und jagt nachtaktive Insekten. In Deutschland ist sie selten und steht auf der Vorwarnliste.;Städte, Wälder, Parks;Nicht bekannt;Vorwarnliste;4;5;dark brown,light brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Zweifarbfledermaus;3;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Zweifarbfledermaus;Nein;April bis Oktober;Chiroptera
